Name,Redshift,m_1450,S_250GHz_mJy,err_S_250GHz,
J012958.51-003539.7,5.7794,22.28,2.37,0.49,0
J020332.39+001229.3,5.72,20.97,1.85,0.46,0
J023930.24-004505.4,5.82,22.28,1.29,0.54,1
J131911.29+095051.4,6.1321,19.65,4.20,0.65,0
J150941.78-174926.8,6.12,19.82,1.00,0.46^b,1
J205321.77+004706.8,5.92,21.20,0.09,0.63,1
J214755.40+010755.0,5.81,21.65,-0.36,0.61,1
J230735.40+003149.0,5.87,21.73,-0.56,0.53,1
J235651.58+002333.3,6.00,21.77,0.21,0.49,1
J000552.34-000655.8,5.85,20.83,0.36,0.48,1
J003311.40-012524.9,6.13,21.78^b,1.13,0.36,0
J030331.40-001912.9,6.08,21.28,0.23,0.51,1
J035349.76+010405.4,6.05,20.22,1.20,0.46,1
J142516.30+325409.0,5.89,20.62^b,2.27,0.51,0
J142738.59+331242.0,6.12,20.33^b,0.39,0.66,1
J163033.90+401209.6,6.05,20.64,0.80,0.60,1
J164121.64+375520.5,6.05,21.30^b,0.08,0.46,1
J205406.42-000514.8,6.04,20.60,2.38,0.53,0
J231546.36-002357.5,6.12,21.34,0.28,0.60,1
J232908.28-030158.8,6.42,21.65^b,0.01,0.50,1